(0, 7);4
(15, 132);7
(8, 132);10
(105, 116);9
(13, 132);13
(8, 93);9
(8, 116);12
(8, 125);7
(8, 132);7
(8, 132);1
(8, 132);10
(105, 116);9
(13, 132);12
(8, 132);10
(105, 116);9
(13, 132);13
(8, 93);3
(8, 137);11
(8, 132);10
(105, 116);10
(136, 117);10
(0, 7);13
(15, 132);7
(8, 132);10
(105, 116);9
(13, 132);13
(8, 93);4
(22, 132);5
(8, 132);10
(105, 116);10
(136, 117);0
(0, 7);5
(15, 132);7
(8, 132);10
(105, 116);9
(13, 132);13
(8, 93);1
(8, 132);10
(105, 116);1
(0, 7);13
(15, 132);7
(8, 132);4
(8, 132);10
(105, 116);9
(13, 132);13
(8, 93);4
(22, 132);5
(8, 132);13
(8, 93);4
(22, 132);5
(8, 132);10
(105, 116);9
(13, 132);4
(8, 132);10
(105, 116);9
(13, 132);13
(8, 93);12
(8, 91);10
(105, 116);9
(12, 132);7
(8, 132);3
(8, 137);10
(105, 116);9
(13, 132);13
(8, 93);4
(22, 132);5
(8, 132);2
