(64, 5);12
(15, 132);6
(15, 132);9
(8, 129);5
(8, 132);10
(105, 116);10
(136, 117);13
(136, 86);4
(122, 138);4
(0, 7);7
(15, 132);9
(8, 126);10
(105, 116);10
(136, 115);12
(136, 124);13
(136, 85);4
(122, 138);5
(0, 7);7
(15, 132);9
(8, 128);10
(105, 116);10
(136, 117);13
(136, 86);8
(7, 6);2
(136, 6);10
(17, 132);6
(19, 132);10
(116, 125);10
(136, 132);0
(0, 7);7
(15, 132);9
(8, 132);10
(105, 116);10
(136, 117);13
(136, 86);4
(122, 138);6
(0, 7);7
(15, 132);9
(8, 126);10
(105, 116);11
