119;15
14;133
14;133
14;133
14;133
14;133
14;133
111;121
19;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;138
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
15;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
7;133
104;7
